Category,Metric,Year,Value
Diabetes estimates (20-79 y),"People with diabetes, in 1,000s",2000,8553.3
Diabetes estimates (20-79 y),"Age-standardised prevalence of diabetes, %",2000,3.7
Diabetes estimates (20-79 y),"Proportion of people with undiagnosed diabetes, %",2000,
Diabetes estimates (20-79 y),"People with undiagnosed diabetes, in 1,000s",2000,
Impaired Fasting Glucose (IFG),"People with IFG, in 1,000s",2000,
Impaired Fasting Glucose (IFG),"Age-standardised prevalence of IFG, %",2000,
Impaired Glucose Tolerance (IGT),"People with IGT, in 1,000s",2000,
Impaired Glucose Tolerance (IGT),"Age-standardised prevalence of IGT, %",2000,
Mortality attributable to diabetes (20-79 y),Deaths attributable to diabetes,2000,
Mortality attributable to diabetes (20-79 y),"Proportion of diabetes-related deaths in people 20-79 y, %",2000,
Hyperglycaemia in pregnancy (HIP) (20-49 y),Live births affected by HIP,2000,
Hyperglycaemia in pregnancy (HIP) (20-49 y),"Prevalence of gestational diabetes mellitus (GDM), %",2000,
Hyperglycaemia in pregnancy (HIP) (20-49 y),Live births affected by other types of diabetes first detected in pregnancy,2000,
Hyperglycaemia in pregnancy (HIP) (20-49 y),Live births affected by other types of diabetes detected prior to pregnancy,2000,
Diabetes-related health expenditure,"Total diabetes-related health expenditure, USD million",2000,
Diabetes-related health expenditure,"Total diabetes-related health expenditure, ID million",2000,
Diabetes-related health expenditure,"Diabetes-related health expenditure per person, USD",2000,
Diabetes-related health expenditure,"Diabetes-related health expenditure per person, ID",2000,
Type 1 diabetes estimates in children and adolescents,People with type 1 diabetes (all age groups),2000,
Type 1 diabetes estimates in children and adolescents,People with type 1 diabetes (0-19 y),2000,
Demographics,"Total adult population (20-79 y), in 1,000s",2000,233013
Demographics,Population of children and adolescents (0-19 y),2000,
Diabetes estimates (20-79 y),"People with diabetes, in 1,000s",2011,25121.5
Diabetes estimates (20-79 y),"Age-standardised prevalence of diabetes, %",2011,9.2
Diabetes estimates (20-79 y),"Proportion of people with undiagnosed diabetes, %",2011,
Diabetes estimates (20-79 y),"People with undiagnosed diabetes, in 1,000s",2011,
Impaired Fasting Glucose (IFG),"People with IFG, in 1,000s",2011,
Impaired Fasting Glucose (IFG),"Age-standardised prevalence of IFG, %",2011,
Impaired Glucose Tolerance (IGT),"People with IGT, in 1,000s",2011,15100
Impaired Glucose Tolerance (IGT),"Age-standardised prevalence of IGT, %",2011,5.4
Mortality attributable to diabetes (20-79 y),Deaths attributable to diabetes,2011,227200
Mortality attributable to diabetes (20-79 y),"Proportion of diabetes-related deaths in people 20-79 y, %",2011,
Hyperglycaemia in pregnancy (HIP) (20-49 y),Live births affected by HIP,2011,
Hyperglycaemia in pregnancy (HIP) (20-49 y),"Prevalence of gestational diabetes mellitus (GDM), %",2011,
Hyperglycaemia in pregnancy (HIP) (20-49 y),Live births affected by other types of diabetes first detected in pregnancy,2011,
Hyperglycaemia in pregnancy (HIP) (20-49 y),Live births affected by other types of diabetes detected prior to pregnancy,2011,
Diabetes-related health expenditure,"Total diabetes-related health expenditure, USD million",2011,20800
Diabetes-related health expenditure,"Total diabetes-related health expenditure, ID million",2011,
Diabetes-related health expenditure,"Diabetes-related health expenditure per person, USD",2011,932.8
Diabetes-related health expenditure,"Diabetes-related health expenditure per person, ID",2011,
Type 1 diabetes estimates in children and adolescents,People with type 1 diabetes (all age groups),2011,
Type 1 diabetes estimates in children and adolescents,People with type 1 diabetes (0-19 y),2011,
Demographics,"Total adult population (20-79 y), in 1,000s",2011,289000
Demographics,Population of children and adolescents (0-19 y),2011,
Diabetes estimates (20-79 y),"People with diabetes, in 1,000s",2024,35366.9
Diabetes estimates (20-79 y),"Age-standardised prevalence of diabetes, %",2024,10.1
Diabetes estimates (20-79 y),"Proportion of people with undiagnosed diabetes, %",2024,30.4
Diabetes estimates (20-79 y),"People with undiagnosed diabetes, in 1,000s",2024,10737.5
Impaired Fasting Glucose (IFG),"People with IFG, in 1,000s",2024,32238.6
Impaired Fasting Glucose (IFG),"Age-standardised prevalence of IFG, %",2024,9.2
Impaired Glucose Tolerance (IGT),"People with IGT, in 1,000s",2024,38678.4
Impaired Glucose Tolerance (IGT),"Age-standardised prevalence of IGT, %",2024,11
Mortality attributable to diabetes (20-79 y),Deaths attributable to diabetes,2024,223539.6
Mortality attributable to diabetes (20-79 y),"Proportion of diabetes-related deaths in people 20-79 y, %",2024,10.4
Hyperglycaemia in pregnancy (HIP) (20-49 y),Live births affected by HIP,2024,967187
Hyperglycaemia in pregnancy (HIP) (20-49 y),"Prevalence of gestational diabetes mellitus (GDM), %",2024,12.5
Hyperglycaemia in pregnancy (HIP) (20-49 y),Live births affected by other types of diabetes first detected in pregnancy,2024,66798.7
Hyperglycaemia in pregnancy (HIP) (20-49 y),Live births affected by other types of diabetes detected prior to pregnancy,2024,143511.1
Diabetes-related health expenditure,"Total diabetes-related health expenditure, USD million",2024,80840.1
Diabetes-related health expenditure,"Total diabetes-related health expenditure, ID million",2024,150434.1
