Iso3,Location Name,AMRO subregions,Causename Eng,Year,Sex,Age group,Measure Name En,Metric Name En,Value,Value Low,Value Up
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,Age-standardized,Deaths,Rate,19.64,17.26,22.02
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,"1,119.49",866.64,"1,423.70"
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,Age-standardized,Years Lived with Disability (YLDs),Rate,604.86,408.1,847.76
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,Age-standardized,Years of Life Lost (YLLs),Rate,514.62,458.54,575.93
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,All ages,Deaths,Rate,25.87,22.63,29.04
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,All ages,Disability-Adjusted Life Years (DALYs),Rate,"1,364.26","1,057.03","1,731.51"
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,All ages,Years Lived with Disability (YLDs),Rate,733.36,496.15,"1,025.38"
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,All ages,Years of Life Lost (YLLs),Rate,630.9,560.88,706.13
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,Age-standardized,Deaths,Rate,21.31,19.03,23.71
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,"1,209.62",945.59,"1,531.75"
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,Age-standardized,Years Lived with Disability (YLDs),Rate,643.35,435.56,902.69
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,Age-standardized,Years of Life Lost (YLLs),Rate,566.27,510.03,629.06
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,All ages,Deaths,Rate,25.55,22.79,28.42
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,All ages,Disability-Adjusted Life Years (DALYs),Rate,"1,405.35","1,099.53","1,777.80"
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,All ages,Years Lived with Disability (YLDs),Rate,746.5,506.33,"1,045.92"
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Male,All ages,Years of Life Lost (YLLs),Rate,658.85,593.2,731.88
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,Age-standardized,Deaths,Rate,18.12,15.7,20.47
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,"1,039.38",796.31,"1,328.00"
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,Age-standardized,Years Lived with Disability (YLDs),Rate,572.56,385,801.41
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,Age-standardized,Years of Life Lost (YLLs),Rate,466.82,411.31,526.59
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,All ages,Deaths,Rate,26.19,22.48,29.64
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,All ages,Disability-Adjusted Life Years (DALYs),Rate,"1,325.58","1,016.64","1,688.27"
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,All ages,Years Lived with Disability (YLDs),Rate,721.85,487.13,"1,007.19"
AMRO,Region of the Americas,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Female,All ages,Years of Life Lost (YLLs),Rate,603.73,529.51,681.08
ANR,Andean Area,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,Age-standardized,Deaths,Rate,20.8,15.81,26.92
ANR,Andean Area,Region of the Americas,Diabetes mellitus (excluding CKD due to Diabetes),2019,Both sexes,Age-standardized,Disability-Adjusted Life Years (DALYs),Rate,973.01,679.94,"1,342.56"
