Iso3,Quintiles classes,Causename Eng,Location Name,Measure Name En,Year,Latitude (generated),Longitude (generated),Value Low,Value Up,Value
VEN,Quintile 3: 40 to 60%,Diabetes mellitus (excluding CKD due to Diabetes),"Venezuela, Bolivarian Republic of",Deaths,2019,6.983,-64.588,30.339239804,49.751212159,39.291483046
VCT,Quintile 3: 40 to 60%,Diabetes mellitus (excluding CKD due to Diabetes),Saint Vincent and the Grenadines,Deaths,2019,13.2528,-61.1949,35.875540135,50.156858559,42.725138356
USA,Quintile 1:  0 to 20%,Diabetes mellitus (excluding CKD due to Diabetes),United States of America,Deaths,2019,40.0792,-98.8164,8.346129607,9.646632393,9.115689206
URY,Quintile 1:  0 to 20%,Diabetes mellitus (excluding CKD due to Diabetes),Uruguay,Deaths,2019,-32.948,-56.249,9.891949725,13.993080676,11.864138011
TTO,Quintile 5: 80 to 100%,Diabetes mellitus (excluding CKD due to Diabetes),Trinidad and Tobago,Deaths,2019,10.4435,-61.2604,69.332269517,102.85153409,85.350432746
SUR,Quintile 3: 40 to 60%,Diabetes mellitus (excluding CKD due to Diabetes),Suriname,Deaths,2019,4.248,-55.848,30.783293633,60.15161269,43.916518693
SLV,Quintile 3: 40 to 60%,Diabetes mellitus (excluding CKD due to Diabetes),El Salvador,Deaths,2019,13.848,-89.229,28.628229628,52.96200195,39.755296828
PRY,Quintile 4: 60 to 80%,Diabetes mellitus (excluding CKD due to Diabetes),Paraguay,Deaths,2019,-23.266,-58.409,33.336163604,65.399861866,47.834445493
PER,Quintile 2: 20 to 40%,Diabetes mellitus (excluding CKD due to Diabetes),Peru,Deaths,2019,-12.664,-72.98,8.913968697,18.512659607,13.109431651
PAN,Quintile 2: 20 to 40%,Diabetes mellitus (excluding CKD due to Diabetes),Panama,Deaths,2019,8.348,-81.005,21.914670603,30.526730081,26.139483142
NIC,Quintile 3: 40 to 60%,Diabetes mellitus (excluding CKD due to Diabetes),Nicaragua,Deaths,2019,12.692,-85.03,23.876770555,43.450790843,32.868662424
MEX,Quintile 5: 80 to 100%,Diabetes mellitus (excluding CKD due to Diabetes),Mexico,Deaths,2019,22.925,-101.68,64.171798391,70.764523625,67.762367144
LCA,Quintile 4: 60 to 80%,Diabetes mellitus (excluding CKD due to Diabetes),Saint Lucia,Deaths,2019,13.909,-60.9776,43.078172876,64.531291617,53.212658259
KNA,Quintile 4: 60 to 80%,Diabetes mellitus (excluding CKD due to Diabetes),Saint Kitts and Nevis,Deaths,2019,17.147,-62.58,36.340537934,58.418018418,47.432280006
JAM,Quintile 5: 80 to 100%,Diabetes mellitus (excluding CKD due to Diabetes),Jamaica,Deaths,2019,18.163,-77.477,74.703813894,125.315780883,98.525312393
HTI,Quintile 5: 80 to 100%,Diabetes mellitus (excluding CKD due to Diabetes),Haiti,Deaths,2019,19.3175,-72.4205,51.120046388,129.559346715,83.336717677
HND,Quintile 2: 20 to 40%,Diabetes mellitus (excluding CKD due to Diabetes),Honduras,Deaths,2019,14.881,-87.123,16.802367038,42.083564453,27.35364953
GUY,Quintile 5: 80 to 100%,Diabetes mellitus (excluding CKD due to Diabetes),Guyana,Deaths,2019,5.17,-58.939,58.950746486,101.211397767,78.362236475
GTM,Quintile 5: 80 to 100%,Diabetes mellitus (excluding CKD due to Diabetes),Guatemala,Deaths,2019,15.124,-90.711,59.630496883,77.768154741,68.443789595
GRD,Quintile 4: 60 to 80%,Diabetes mellitus (excluding CKD due to Diabetes),Grenada,Deaths,2019,12.111,-61.6867,55.247938829,77.505433547,66.000377168
ECU,Quintile 2: 20 to 40%,Diabetes mellitus (excluding CKD due to Diabetes),Ecuador,Deaths,2019,-1.151,-78.308,19.27268073,28.06524531,23.43050722
DOM,Quintile 2: 20 to 40%,Diabetes mellitus (excluding CKD due to Diabetes),Dominican Republic,Deaths,2019,19.01,-70.1685,16.185935369,35.880248945,24.85827873
DMA,Quintile 5: 80 to 100%,Diabetes mellitus (excluding CKD due to Diabetes),Dominica,Deaths,2019,15.4238,-61.3411,47.439858735,91.714365202,67.193200245
CUB,Quintile 1:  0 to 20%,Diabetes mellitus (excluding CKD due to Diabetes),Cuba,Deaths,2019,20.571,-76.456,5.187402734,7.312625822,6.203237512
