Location Code,Location Name En,Indicator Name En,Age Group En,Sex En,Year,Value,Value Low,Value High
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Both sexes,1990,42.47%,38.20%,46.90%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Both sexes,1995,44.62%,41.00%,48.20%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Both sexes,2000,46.60%,43.80%,49.50%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Both sexes,2005,48.75%,46.50%,50.90%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Both sexes,2010,50.94%,49.00%,52.80%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Both sexes,2015,53.94%,51.80%,56.00%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Both sexes,2019,56.28%,53.20%,59.40%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Both sexes,2020,56.79%,53.20%,60.30%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Both sexes,2021,57.26%,53.30%,61.20%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Both sexes,2022,57.71%,53.30%,62.10%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Female,1990,45.26%,38.90%,51.50%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Female,1995,47.41%,42.30%,52.70%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Female,2000,49.23%,45.10%,53.50%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Female,2005,51.01%,47.70%,54.30%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Female,2010,52.64%,49.90%,55.40%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Female,2015,54.88%,51.90%,57.90%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Female,2019,56.72%,52.20%,61.00%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Female,2020,57.12%,52.10%,61.90%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Female,2021,57.49%,51.80%,62.90%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Female,2022,57.83%,51.50%,63.90%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Male,1990,39.33%,33.60%,45.60%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Male,1995,41.60%,36.60%,46.60%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Male,2000,43.88%,40.00%,47.80%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Male,2005,46.48%,43.40%,49.60%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Male,2010,49.24%,46.60%,51.90%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Male,2015,53.02%,50.00%,56.00%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Male,2019,55.89%,51.20%,60.30%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Male,2020,56.51%,51.20%,61.40%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Male,2021,57.10%,51.00%,62.70%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (age-standardized estimates) (%)",30+ years,Male,2022,57.65%,50.90%,63.90%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Both sexes,1990,42.37%,38.10%,46.80%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Both sexes,1995,44.33%,40.80%,48.00%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Both sexes,2000,46.25%,43.50%,49.10%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Both sexes,2005,48.61%,46.30%,50.80%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Both sexes,2010,51.23%,49.30%,53.10%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Both sexes,2015,54.77%,52.60%,56.90%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Both sexes,2019,57.57%,54.40%,60.70%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Both sexes,2020,58.18%,54.60%,61.70%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Both sexes,2021,58.76%,54.80%,62.70%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Both sexes,2022,59.30%,54.90%,63.70%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Female,1990,45.33%,39.10%,51.60%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Female,1995,47.35%,42.30%,52.60%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Female,2000,49.13%,45.10%,53.40%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Female,2005,51.10%,47.80%,54.40%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Female,2010,53.14%,50.40%,55.90%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Female,2015,55.88%,52.80%,58.90%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Female,2019,58.13%,53.60%,62.50%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Female,2020,58.62%,53.50%,63.50%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Female,2021,59.08%,53.40%,64.50%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Female,2022,59.51%,53.10%,65.60%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Male,1990,38.93%,33.20%,45.20%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Male,1995,40.98%,36.10%,46.00%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Male,2000,43.20%,39.40%,47.10%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Male,2005,46.02%,42.90%,49.10%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Male,2010,49.25%,46.60%,51.90%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Male,2015,53.60%,50.60%,56.60%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Male,2019,56.97%,52.30%,61.40%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Male,2020,57.71%,52.40%,62.70%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Male,2021,58.41%,52.30%,63.90%
AMR,Region of the Americas,"Diabetes treatment coverage (current use of glucose-lowering medication, among those with diabetes)  in adults aged 30+ years (crude estimates) (%)",30+ years,Male,2022,59.07%,52.30%,65.20%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Both sexes,1990,7.06%,6.10%,8.10%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Both sexes,1995,7.83%,7.00%,8.70%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Both sexes,2000,8.51%,7.80%,9.20%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Both sexes,2005,9.41%,8.80%,10.00%
AMR,Region of the Americas,Prevalence of diabetes in adults aged 18+ years (FBG ≥7.0 mmol/L or HbA1c ≥6.5% or currently taking medication for diabetes) (age-standardized estimates),18+ years,Both sexes,2010,10.57%,10.00%,11.10%
